eta,phi_promedio,phi_std,phi_min,phi_max,pasos_termal,pasos_medicion,N,L,dt,k_align
2.0,0.994804,0.000585,0.993375,0.996113,3000,1500,150,20.0,0.02,5.0
1.897368,0.995163,0.00063,0.993597,0.996814,3000,1500,150,20.0,0.02,5.0
1.794737,0.995591,0.000493,0.99416,0.996806,3000,1500,150,20.0,0.02,5.0
1.692105,0.996372,0.000385,0.995274,0.997145,3000,1500,150,20.0,0.02,5.0
1.589474,0.996671,0.000371,0.995703,0.997518,3000,1500,150,20.0,0.02,5.0
1.486842,0.997203,0.000272,0.996537,0.997781,3000,1500,150,20.0,0.02,5.0
1.384211,0.997467,0.000265,0.996685,0.997998,3000,1500,150,20.0,0.02,5.0
1.281579,0.99785,0.000305,0.996949,0.998491,3000,1500,150,20.0,0.02,5.0
1.178947,0.998197,0.00016,0.997745,0.99854,3000,1500,150,20.0,0.02,5.0
1.076316,0.998513,0.000162,0.998096,0.998916,3000,1500,150,20.0,0.02,5.0
0.973684,0.998763,0.000124,0.998476,0.999028,3000,1500,150,20.0,0.02,5.0
0.871053,0.99904,0.000113,0.998699,0.999278,3000,1500,150,20.0,0.02,5.0
0.768421,0.999237,9.4e-05,0.998995,0.999434,3000,1500,150,20.0,0.02,5.0
0.665789,0.999434,5.7e-05,0.999283,0.999588,3000,1500,150,20.0,0.02,5.0
0.563158,0.999593,5.2e-05,0.999455,0.999692,3000,1500,150,20.0,0.02,5.0
0.460526,0.999748,2.9e-05,0.999683,0.999816,3000,1500,150,20.0,0.02,5.0
0.357895,0.999838,2e-05,0.999778,0.999879,3000,1500,150,20.0,0.02,5.0
0.255263,0.999917,1e-05,0.999895,0.999938,3000,1500,150,20.0,0.02,5.0
0.152632,0.99997,4e-06,0.999959,0.999979,3000,1500,150,20.0,0.02,5.0
0.05,0.999997,0.0,0.999996,0.999998,3000,1500,150,20.0,0.02,5.0
